,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
20,"(0.37174365, 0.47254738, 0.41367534)","(0.3573855, 0.49021098, 0.5548742)","(0.35239515, 0.45900366, 0.56192285)","(0.36878866, 0.50716543, 0.73528874)","(0.3567637, 0.43937838, 0.48370504)","(0.4163279, 0.5192605, 0.5997658)","(0.42099842, 0.40359098, 0.68169343)","(0.53075457, 0.50580114, 0.58309376)","(0.54713666, 0.3778901, 0.4809614)","(0.4898762, 0.42705104, 0.3850421)","(0.6334911, 0.3837448, 0.4268822)","(0.6168102, 0.49824274, 0.6650814)","(0.62413484, 0.4255936, 0.6484817)","(0.78411996, 0.5282893, 0.70758176)","(0.7978097, 0.42901132, 0.6028463)","(0.91301465, 0.5416496, 0.7852766)","(0.92036784, 0.45730934, 0.52130604)","(0.36277617514133453, 0.473271906375885, 0.6094968914985657)",0.06884536147117615,"(0.40302332242329914, 0.4651329616705577, 0.5650448501110077)",0.06429281716431387
21,"(0.3590861, 0.4723463, 0.36871517)","(0.3468878, 0.4933858, 0.6325561)","(0.34327316, 0.45971474, 0.5630935)","(0.35823283, 0.51269686, 0.6751754)","(0.34981546, 0.4430327, 0.6622924)","(0.41800958, 0.5222293, 0.657699)","(0.42565984, 0.41202426, 0.689689)","(0.50230944, 0.4915521, 0.40073115)","(0.54393893, 0.38902578, 0.45922816)","(0.46163994, 0.37024528, 0.40025723)","(0.6479772, 0.39940685, 0.46281368)","(0.61126876, 0.5047562, 0.71982694)","(0.62173307, 0.4371301, 0.6265661)","(0.7782623, 0.5282661, 0.74615324)","(0.7964423, 0.4389615, 0.6576171)","(0.9109241, 0.53958637, 0.8030739)","(0.9185318, 0.461111, 0.5430643)","(0.35402414202690125, 0.4778647869825363, 0.6687339246273041)",0.07017083466053009,"(0.40091850360234577, 0.46886662642161053, 0.5720343788464864)",0.08395376038559742
22,"(0.35346675, 0.47188205, 0.40358385)","(0.3392132, 0.4917383, 0.61442304)","(0.33745813, 0.4597418, 0.5275143)","(0.35463744, 0.51532555, 0.61193275)","(0.34373617, 0.44763243, 0.69444036)","(0.39650974, 0.5220758, 0.64107955)","(0.42186493, 0.4277938, 0.63330686)","(0.4662038, 0.4926512, 0.3421027)","(0.5280707, 0.3925674, 0.39408278)","(0.45054445, 0.37114105, 0.5510887)","(0.6165296, 0.3967234, 0.270716)","(0.5951239, 0.50346184, 0.74053454)","(0.6113545, 0.4377875, 0.713493)","(0.7767164, 0.5264761, 0.7574911)","(0.782242, 0.43989262, 0.6212156)","(0.90963626, 0.5390971, 0.7953172)","(0.9171556, 0.45467624, 0.67264664)","(0.34918680787086487, 0.4814789891242981, 0.653186559677124)",0.0685652643442154,"(0.3906138042608897, 0.4739172061284383, 0.5593234201272329)",0.07440552614068513
23,"(0.34608084, 0.46891043, 0.4958553)","(0.33185905, 0.48411041, 0.42573488)","(0.3307351, 0.45672935, 0.546259)","(0.33762893, 0.513135, 0.672677)","(0.33352268, 0.4548634, 0.4372315)","(0.39234647, 0.52886313, 0.74975467)","(0.39447403, 0.4323482, 0.6061567)","(0.4836646, 0.5028031, 0.5589399)","(0.5271741, 0.41344783, 0.4197235)","(0.4441945, 0.4062837, 0.34817737)","(0.6154109, 0.4031621, 0.3367889)","(0.57641506, 0.5039018, 0.75228894)","(0.5922723, 0.43891376, 0.73335224)","(0.7639854, 0.5252708, 0.7562288)","(0.77757335, 0.44228756, 0.6101904)","(0.90661347, 0.5427671, 0.751246)","(0.91699475, 0.45366842, 0.69685286)","(0.33557580411434174, 0.48399920761585236, 0.5549542456865311)",0.05841611698269844,"(0.3776337802410126, 0.47670724987983704, 0.6172555585702261)",0.06500395449828798
24,"(0.34387895, 0.47205907, 0.3413692)","(0.33096236, 0.49235412, 0.52460015)","(0.33010823, 0.46000692, 0.59599334)","(0.33511934, 0.5162443, 0.5391167)","(0.3333235, 0.4532073, 0.5525639)","(0.39280826, 0.5290785, 0.69794273)","(0.4062898, 0.42887938, 0.61964947)","(0.462738, 0.5088661, 0.41788542)","(0.5220906, 0.42492187, 0.40443847)","(0.43104944, 0.42546213, 0.44520646)","(0.51357144, 0.4364521, 0.14341038)","(0.5954448, 0.50926226, 0.71202534)","(0.6027072, 0.43951547, 0.65346843)","(0.77494663, 0.525188, 0.6984978)","(0.780808, 0.44449434, 0.5798964)","(0.9031987, 0.5447071, 0.7300262)","(0.9161166, 0.45094892, 0.7567278)","(0.33422142267227173, 0.48472580313682556, 0.5458402931690216)",0.06306255608797073,"(0.380992333094279, 0.4766723116238912, 0.5529871384302775)",0.07479799056359945
25,"(0.3466695, 0.47521722, 0.406638)","(0.33275315, 0.49744445, 0.46003464)","(0.33165765, 0.46082854, 0.5904025)","(0.33388314, 0.5154066, 0.5588182)","(0.3313035, 0.44584382, 0.66451997)","(0.38672495, 0.5359528, 0.72395957)","(0.3929826, 0.41677803, 0.5917683)","(0.46156785, 0.5554002, 0.63026255)","(0.5276536, 0.4209867, 0.40027344)","(0.43153414, 0.44768637, 0.3750257)","(0.49256596, 0.46253407, 0.1226168)","(0.59266055, 0.5141124, 0.69915134)","(0.600901, 0.43949223, 0.68918264)","(0.7733945, 0.5257344, 0.6926715)","(0.78221506, 0.44662112, 0.76010907)","(0.90502274, 0.54304796, 0.7703476)","(0.91469383, 0.45176739, 0.78788626)","(0.33259332180023193, 0.4806252121925354, 0.6116690933704376)",0.0696106031537056,"(0.3754590153694153, 0.4759826858838399, 0.5741219619909922)",0.05759938923921341
26,"(0.35115957, 0.47635838, 0.43176168)","(0.33487627, 0.4930715, 0.28125575)","(0.337978, 0.46136624, 0.46590135)","(0.33240008, 0.5179877, 0.5092611)","(0.3394081, 0.44073367, 0.6063731)","(0.39383125, 0.5407867, 0.71004874)","(0.40601194, 0.41830987, 0.65693486)","(0.46903372, 0.60622394, 0.56042206)","(0.551422, 0.41043064, 0.6622322)","(0.4672596, 0.5446173, 0.19030431)","(0.6403323, 0.39831233, 0.4895878)","(0.5937252, 0.51354563, 0.6083543)","(0.6049901, 0.44501442, 0.6441063)","(0.7689303, 0.52972114, 0.7582561)","(0.7793536, 0.4537151, 0.7082427)","(0.90321225, 0.54053915, 0.7399431)","(0.90976775, 0.4503963, 0.8333589)","(0.3359040915966034, 0.4793606996536255, 0.5578170716762543)",0.07757126539945602,"(0.38366758823394775, 0.47848497827847797, 0.599581758181254)",0.0651549993184717
27,"(0.34792972, 0.47248864, 0.32159817)","(0.33495843, 0.4892844, 0.5193603)","(0.33978307, 0.45857215, 0.4640552)","(0.33386904, 0.51534414, 0.56219155)","(0.3423847, 0.44074565, 0.6966562)","(0.39654422, 0.53288937, 0.55823284)","(0.4114961, 0.41619202, 0.6470088)","(0.46790624, 0.61464906, 0.6422854)","(0.55185026, 0.40812263, 0.63919353)","(0.46199593, 0.51317364, 0.4441678)","(0.6360164, 0.39996487, 0.44980204)","(0.6136253, 0.5156723, 0.65455633)","(0.62472385, 0.44155455, 0.691997)","(0.7815551, 0.5322057, 0.7648828)","(0.78820324, 0.4494797, 0.65443885)","(0.90861523, 0.53773713, 0.66968334)","(0.9128053, 0.45499527, 0.81386036)","(0.33812686800956726, 0.47804489731788635, 0.6294238865375519)",0.07508296519517899,"(0.38532334566116333, 0.4738566776116689, 0.5089465975761414)",0.07483729159026742
28,"(0.36201805, 0.47607145, 0.5908501)","(0.34430572, 0.4900876, 0.7389583)","(0.34717464, 0.45743096, 0.52633274)","(0.34465224, 0.5095797, 0.70501536)","(0.3491711, 0.43969923, 0.649797)","(0.4009802, 0.5360365, 0.67435724)","(0.43255204, 0.41678557, 0.79164857)","(0.46736747, 0.6177848, 0.5491)","(0.5641193, 0.40415403, 0.6972579)","(0.46357095, 0.5087386, 0.5690298)","(0.6585589, 0.39494556, 0.5816246)","(0.63322854, 0.51985383, 0.66579443)","(0.64383686, 0.44403094, 0.723936)","(0.78556454, 0.53305537, 0.7706532)","(0.7952976, 0.4475295, 0.64643043)","(0.9098085, 0.5370707, 0.8160195)","(0.90659606, 0.45457226, 0.5866785)","(0.3469116687774658, 0.4746394753456116, 0.6774061918258667)",0.0700264424085617,"(0.3985167642434438, 0.47629783550898236, 0.6856186389923096)",0.07299883515231242
29,"(0.369168, 0.47694075, 0.47972625)","(0.35177028, 0.49598497, 0.69922286)","(0.35299182, 0.4613429, 0.5384838)","(0.352293, 0.50954443, 0.65868974)","(0.35667118, 0.44071776, 0.53953576)","(0.40885955, 0.54161215, 0.6959795)","(0.43901235, 0.41722643, 0.7488651)","(0.4799429, 0.6191715, 0.55996823)","(0.57508326, 0.40737233, 0.73704535)","(0.4700951, 0.53179, 0.50615156)","(0.67337126, 0.39900014, 0.5119832)","(0.6309477, 0.5252604, 0.6825531)","(0.64245105, 0.449156, 0.69323665)","(0.79736704, 0.5343818, 0.73748916)","(0.8009266, 0.45324296, 0.67313766)","(0.90820897, 0.5356121, 0.8366132)","(0.9127383, 0.45803666, 0.7257562)","(0.35448209941387177, 0.475131094455719, 0.5991127490997314)",0.06896578520536423,"(0.40567997097969055, 0.478593111038208, 0.6415236194928488)",0.07309865510517202
